patientprocedureid,MediaType,appannotationid,annotationfilepath,annotationfilesize,annotationname,isactive,archivestatus,ProcedureStatus,cognitouser_username,subscriptionstatus,terminationaction,mediaid
2279,Media,5c2c4109-9961-49b9-85a2-2dce3ae55650,public/2279/7623DC93-A624-49A0-935A-79F46366D2EA/images/original/z_babyg1.jpg,86280,z_babyg1.jpg,1,NULL,NULL,Santhoshi_1,10,NULL,
2279,Media,60a24884-f123-4eb0-bc8e-a9cc3406ed7f,public/2279/7623DC93-A624-49A0-935A-79F46366D2EA/images/original/z_hhgh5687_z_Anno_001.jpg,848384,z_hhgh5687_z_Anno_001.jpg,1,NULL,NULL,Santhoshi_1,10,NULL,
2279,Media,b4954cff-8573-4b57-9f85-57375b3166b9,public/2279/7623DC93-A624-49A0-935A-79F46366D2EA/images/original/z_12345.jpg,2640163,z_12345.jpg,1,NULL,NULL,Santhoshi_1,10,NULL,
2322,Media,6524f045-fae2-4222-b59d-7faa3470dcbb,public/2322/F3067BCD-5174-467E-A66E-49D538DE43BF/images/original/z_Image_0NaN.jpg,1638774,z_VideoSnap.jpg,1,NULL,NULL,Doctor.1,1,NULL,
2322,Media,ee1b59b3-84b5-4b4e-86f9-9d395a4a2d5e,public/2322/F3067BCD-5174-467E-A66E-49D538DE43BF/images/original/z_VideoSnap002.jpg,1598804,z_VideoSnap002.jpg,1,NULL,NULL,Doctor.1,1,NULL,
2319,Media,59e1f0b3-4cdf-4e6e-8ae3-193c0b093460,public/2319/36E841F5-D5A3-4E4B-8A3A-0571B1F029F4/images/original/z_Image_0NaN.jpg,1598067,z_Image_0NaN.jpg,1,NULL,4,Doctor.1,1,NULL,
2319,Media,e4c0debf-9a4f-49b4-a8fb-51291adc6714,public/2319/36E841F5-D5A3-4E4B-8A3A-0571B1F029F4/images/original/z_lkjhg_z_Anno_001.jpg,129129,z_lkjhg_z_Anno_001.jpg,1,NULL,4,Doctor.1,1,NULL,
2319,Media,849da037-f171-449b-9983-af499df735dd,public/2319/36E841F5-D5A3-4E4B-8A3A-0571B1F029F4/images/original/z_Anno002.jpg,122112,z_Anno002.jpg,1,NULL,4,Doctor.1,1,NULL,
2319,Media,9f0efe44-cb4a-40be-831e-9cba4cf0f694,public/2319/36E841F5-D5A3-4E4B-8A3A-0571B1F029F4/images/original/z_lkjhg_z_Anno_001.jpg,119030,z_lkjhg_z_Anno_001.jpg,1,NULL,4,Doctor.1,1,NULL,
2319,Media,4682f0e9-0608-4c2b-8201-7cd518a2a9f7,public/2319/36E841F5-D5A3-4E4B-8A3A-0571B1F029F4/images/original/Image_004_z_Anno_001.jpg,1379494,Image_004_z_Anno_001.jpg,1,NULL,4,Doctor.1,1,NULL,
2319,Media,98e228c0-8279-4fdd-be39-092d757abfa1,public/2319/36E841F5-D5A3-4E4B-8A3A-0571B1F029F4/images/original/Image_004_z_Anno_002.jpg,1377987,Image_004_z_Anno_002.jpg,1,NULL,4,Doctor.1,1,NULL,
2319,Media,768609de-6a32-4d6e-845a-9d2bf12765c3,public/2319/36E841F5-D5A3-4E4B-8A3A-0571B1F029F4/images/original/z_Anno003.jpg,1417314,z_Anno003.jpg,1,NULL,4,Doctor.1,1,NULL,
2319,Media,93fa68db-7f91-4eed-b35b-09adfb8b3989,public/2319/36E841F5-D5A3-4E4B-8A3A-0571B1F029F4/images/original/Image_004_z_Anno_002.jpg,1367224,Image_004_z_Anno_002.jpg,1,NULL,4,Doctor.1,1,NULL,
2319,Media,ef144298-916a-4c88-822f-e5335d6bfdbe,public/2319/36E841F5-D5A3-4E4B-8A3A-0571B1F029F4/images/original/Image_004_z_Anno_003.jpg,1372048,Image_004_z_Anno_003.jpg,1,NULL,4,Doctor.1,1,NULL,
